商品ID,商品名,カテゴリ,価格
1,Python入門,プログラミング,8498
2,Javaマスター,プログラミング,6160
3,C++徹底攻略,プログラミング,4270
4,Go言語実践,プログラミング,1948
5,Rustプログラミング,プログラミング,3087
6,Swift基礎,プログラミング,1466
7,Ruby基礎,プログラミング,1998
8,Perl活用,プログラミング,7820
9,C#実践,プログラミング,6970
10,Kotlin開発,プログラミング,3410
11,プログラム設計,プログラミング,1355
12,アルゴリズムとデータ構造,プログラミング,1052
13,システム開発,プログラミング,1267
14,ソフトウェアテスト,プログラミング,1611
15,オブジェクト指向プログラミング,プログラミング,1295
16,デザインパターン,プログラミング,1521
17,関数型プログラミング,プログラミング,3518
18,アセンブリ言語入門,プログラミング,8432
19,Webスクレイピング,プログラミング,7750
20,自動化スクリプト,プログラミング,4412
21,ゲームプログラミング,プログラミング,8138
22,競技プログラミング,プログラミング,4840
23,AIプログラミング,プログラミング,5882
24,低レイヤープログラミング,プログラミング,6147
25,プログラミング入門,プログラミング,1924
26,エラー処理,プログラミング,4142
27,コード最適化,プログラミング,8086
28,モダンJavaScript,プログラミング,4251
29,TypeScript入門,プログラミング,2396
30,プログラムデバッグ,プログラミング,1389
31,テスト駆動開発,プログラミング,2121
32,フレームワーク活用,プログラミング,5863
33,プログラミング言語の歴史,プログラミング,8909
34,データ分析基礎,データサイエンス,9764
35,統計学入門,データサイエンス,7597
36,機械学習モデル構築,データサイエンス,5298
37,Pythonでデータ処理,データサイエンス,9507
38,SQLデータ分析,データサイエンス,6006
39,データ可視化,データサイエンス,7070
40,ビッグデータ解析,データサイエンス,1501
41,データクレンジング,データサイエンス,6062
42,R言語活用,データサイエンス,4491
43,データエンジニアリング,データサイエンス,7081
44,統計モデリング,データサイエンス,4124
45,時系列分析,データサイエンス,7336
46,データマイニング,データサイエンス,9612
47,Pythonデータ分析,データサイエンス,9749
48,データアナリスト入門,データサイエンス,4523
49,回帰分析,データサイエンス,2161
50,教師なし学習,データサイエンス,6884
51,ディープラーニング基礎,データサイエンス,1200
52,AIデータ分析,データサイエンス,3643
53,データサイエンスとビジネス,データサイエンス,9452
54,データパイプライン構築,データサイエンス,7474
55,クラスタリング技術,データサイエンス,7085
56,異常検知,データサイエンス,3002
57,データウェアハウス入門,データサイエンス,9674
58,データドリブン戦略,データサイエンス,6409
59,データスクリーニング,データサイエンス,7687
60,統計的仮説検定,データサイエンス,8437
61,データ統計入門,データサイエンス,6070
62,深層学習入門,AI,3789
63,強化学習実践,AI,6984
64,AIモデル最適化,AI,4214
65,自然言語処理,AI,6533
66,画像認識技術,AI,6343
67,音声認識AI,AI,3478
68,GAN活用,AI,3783
69,Transformer入門,AI,4894
70,自動運転AI,AI,3264
71,AI倫理,AI,9823
72,AIの未来,AI,5271
73,AIプログラム基礎,AI,2556
74,AIとビジネス,AI,9134
75,AIチャットボット開発,AI,1539
76,AIアプリ開発,AI,7046
77,AIとデータサイエンス,AI,6661
78,ディープラーニング入門,AI,7713
79,AIで株価予測,AI,6864
80,AIによる画像分類,AI,9933
81,AI技術の実践,AI,1096
82,AWS入門,クラウドコンピューティング,6369
83,Azure実践,クラウドコンピューティング,2053
84,GCP活用,クラウドコンピューティング,4782
85,クラウドアーキテクチャ,クラウドコンピューティング,8147
86,サーバーレス開発,クラウドコンピューティング,6085
87,Kubernetes基礎,クラウドコンピューティング,1819
88,Docker活用,クラウドコンピューティング,6483
89,クラウドセキュリティ,クラウドコンピューティング,1237
90,分散コンピューティング,クラウドコンピューティング,4078
91,ハイブリッドクラウド戦略,クラウドコンピューティング,7264
92,クラウド運用,クラウドコンピューティング,9254
93,マイクロサービス,クラウドコンピューティング,7923
94,DevOpsとCI/CD,クラウドコンピューティング,7002
95,クラウドデータストレージ,クラウドコンピューティング,6910
96,クラウドネイティブアプリ,クラウドコンピューティング,6311
97,クラウドコスト最適化,クラウドコンピューティング,9981
98,ネットワークセキュリティ,サイバーセキュリティ,6415
99,情報セキュリティ管理,サイバーセキュリティ,8145
100,暗号技術,サイバーセキュリティ,1064
101,ペネトレーションテスト,サイバーセキュリティ,6396
102,脆弱性診断,サイバーセキュリティ,4228
103,マルウェア解析,サイバーセキュリティ,7778
104,エシカルハッキング,サイバーセキュリティ,4221
105,セキュアコーディング,サイバーセキュリティ,7041
106,ゼロトラストセキュリティ,サイバーセキュリティ,3762
107,SOCとSIEM,サイバーセキュリティ,5994
108,セキュリティオペレーション,サイバーセキュリティ,4927
109,ブロックチェーン基礎,ブロックチェーン,1329
110,Ethereum開発,ブロックチェーン,4523
111,スマートコントラクト,ブロックチェーン,2530
112,NFTとメタバース,ブロックチェーン,3177
113,暗号通貨技術,ブロックチェーン,9080
114,分散型アプリ開発,ブロックチェーン,7431
115,DeFiと金融革命,ブロックチェーン,1804
116,ハッシュアルゴリズム,ブロックチェーン,6388
117,SQL入門,データベース,9518
118,NoSQL活用,データベース,1800
119,データベース設計,データベース,9339
120,分散データベース,データベース,2073
121,データモデリング,データベース,6606
122,トランザクション管理,データベース,8920
123,データベースパフォーマンス最適化,データベース,5242
124,HTML/CSS基礎,Web開発,6818
125,JavaScriptフレームワーク,Web開発,7741
126,React入門,Web開発,8760
127,Vue.js開発,Web開発,9864
128,フロントエンド最適化,Web開発,6877
129,WebAPI設計,Web開発,8063
130,バックエンド開発,Web開発,7863
131,フルスタック開発,Web開発,7450
132,Next.js活用,Web開発,6474
133,GraphQL入門,Web開発,6501
134,Android開発,モバイルアプリ,3535
135,iOSアプリ開発,モバイルアプリ,2472
136,React Native入門,モバイルアプリ,2615
137,Flutter実践,モバイルアプリ,6350
138,SwiftUI開発,モバイルアプリ,6241
139,Unityゲーム開発,ゲーム開発,2840
140,Unreal Engine活用,ゲーム開発,1200
141,ゲームデザイン理論,ゲーム開発,5092
142,3Dモデリング技術,ゲーム開発,9111
143,物理エンジン実装,ゲーム開発,2321
144,ゲームAI開発,ゲーム開発,6982
145,IoT基礎,IoT,7058
146,スマートデバイス開発,IoT,2886
147,エッジコンピューティング,IoT,3245
148,組み込みシステム,IoT,7553
149,センサーデータ処理,IoT,3828
150,IoTセキュリティ,IoT,1630
151,ロボット制御,ロボティクス,2169
152,ROSプログラミング,ロボティクス,7807
153,自律移動ロボット,ロボティクス,7627
154,ロボットアーム制御,ロボティクス,5539
155,ヒューマノイド開発,ロボティクス,4413
156,ロボティクスAI,ロボティクス,4082
